id,product_name,price,category,sub_category,availability,description,,img_primary,img_secondary,url
p11,Sal & Saffron – Vitamin E Rich – Ultra-Hydrating Facial Treatment Gel – 60ml,22,skin,face care,no,"A fast-action extra-potent wonder blend infused with nourishing Sal Butter & precious Saffron to instantly deep-hydrate, soothe dryness, minimize appearance of pores & add a more visibly youthful glow to skin.",,Sal & Saffron – Vitamin E Rich – Ultra-Hydrating Facial Treatment Gel – 60ml_primary.jpg,Sal & Saffron – Vitamin E Rich – Ultra-Hydrating Facial Treatment Gel – 60ml_secondary.jpg,https://store.spaceylon.com/product/ultra-hydrating-facial-treatment-gel-sal-saffron-60ml/
p12,Sal & Saffron – Vitamin E Rich – Glow Activating Day Facial Protector – 100g,22,skin,sal & saffron,no,"A light, fast-absorbent blend of nourishing Sal Butter & precious Saffron, to soothe & control dryness, while keep skin looking fresh & matte throughout the day.",,Sal & Saffron – Vitamin E Rich – Glow Activating Day Facial Protector – 100g_primary.jpg,Sal & Saffron – Vitamin E Rich – Glow Activating Day Facial Protector – 100g_secondary.jpg,https://store.spaceylon.com/product/glow-activating-day-facial-protector-sal-saffron-100g/
p13,Sal & Saffron – Vitamin E Rich – Delicate Creme Facial Exfoliator – 100g,21,skin,face care,yes,"A gentle purifying blend infused with nourishing Sal Butter & precious Saffron to help clear clogged pores, take away rough patches & renew skin.",,Sal & Saffron – Vitamin E Rich – Delicate Creme Facial Exfoliator – 100g_primary.jpg,Sal & Saffron – Vitamin E Rich – Delicate Creme Facial Exfoliator – 100g_secondary.jpg,https://store.spaceylon.com/product/delicate-creme-facial-exfoliator-sal-saffron-100g/
p14,Sal & Saffron – Vitamin E Rich – Ultra-Nourishing Rich Facial Cream – 100g,26,skin,sal & saffron,no,"A rich & creamy deep-penetrating treatment infused with nourishing Sal Butter & precious Saffron to soothe, calm & comfort skin, helping to prevent dryness, rough patches & signs of premature ageing.",,Sal & Saffron – Vitamin E Rich – Ultra-Nourishing Rich Facial Cream – 100g_primary.jpg,Sal & Saffron – Vitamin E Rich – Ultra-Nourishing Rich Facial Cream – 100g_secondary.jpg,https://store.spaceylon.com/product/ultra-nourishing-rich-facial-cream-sal-saffron-100g/
p15,Skin Smooth Bakuchiol – Retinol Alternative Age Refining Day & Night Facial Serum – 30ml,33,skin,skin wellness,yes,"Traditionally referred to as Babchi Flower in Ayurveda, this natural active helps renew collagen, even-out skin tone, improve elasticity & promote plumper, firmer skin feel.",,Skin Smooth Bakuchiol – Retinol Alternative Age Refining Day & Night Facial Serum – 30ml_primary.jpg,Skin Smooth Bakuchiol – Retinol Alternative Age Refining Day & Night Facial Serum – 30ml_secondary.jpg,https://store.spaceylon.com/product/skin-smooth-bakuchiol-retinol-alternative-age-refining-day-night-facial-serum-30ml/
p16,Ceylon Coffee & Cocoa Lip Balm – 10g,13,skin,lip balms,yes,Description not available,,Ceylon Coffee & Cocoa Lip Balm – 10g_primary.jpg,Ceylon Coffee & Cocoa Lip Balm – 10g_secondary.jpg,https://store.spaceylon.com/product/ceylon-coffee-cocoa-lip-balm-10g/
p17,Ceylon Grapefruit & Rice Lip Balm – 10g,13,skin,lip balms,yes,Description not available,,Ceylon Grapefruit & Rice Lip Balm – 10g_primary.jpg,Ceylon Grapefruit & Rice Lip Balm – 10g_secondary.jpg,https://store.spaceylon.com/product/ceylon-grapefruit-rice-lip-balm-10g/
p18,Ceylon Lime & Avocado Lip Balm -10g,13,skin,lip balms,no,Description not available,,Ceylon Lime & Avocado Lip Balm -10g_primary.jpg,Ceylon Lime & Avocado Lip Balm -10g_secondary.jpg,https://store.spaceylon.com/product/ceylon-orange-avocado-lip-balm-10g/
p19,White Rice – Age Control Facial Cleansing Milk – White Rice – 100ml,27,skin,cleanser,no,"An advanced purifying formula blended with pure Rice Bran Oil – rich in naturally anti-oxidant & youth-giving Gamma Oryzanol. Virgin Coconut & Olive help dissolve impurities & effectively remove make-up, while deep cleansing & hydrating skin.",,White Rice – Age Control Facial Cleansing Milk – White Rice – 100ml_primary.jpg,White Rice – Age Control Facial Cleansing Milk – White Rice – 100ml_secondary.jpg,https://store.spaceylon.com/product/white-rice-age-control-facial-cleansing-milk-white-rice-100ml/
p20,Virgin Coconut – Extra Gentle Micellar Water Facial Cleanser – 100ml,26,skin,cleanser,no,"An advanced one-step make-up removing & skin cleansing formula blended with pure Virgin Coconut water – freshly harvested at source in Ceylon. Gently, yet efficiently wipes away even waterproof make-up & impurities from the face, eyelids & lips, without over-drying. Rice Bran, Moringa & Margosa help skin feel soft, soothed & refreshed.",,Virgin Coconut – Extra Gentle Micellar Water Facial Cleanser – 100ml_primary.jpg,Virgin Coconut – Extra Gentle Micellar Water Facial Cleanser – 100ml_secondary.jpg,https://store.spaceylon.com/product/virgin-coconut-extra-gentle-micellar-water-facial-cleanser-100ml/
p21,Skin Destress – Ashwagandha Advanced Anti-Pollution Day Face Essence – 30ml,31,skin,day serum & treatments,yes,"A lightweight finishing essence infused with powerful Ayurveda WonderHerbs to create an instant barrier against harsh-pollutants and harmful blue light. Precious Arnica, Calendula & Witch Hazel help soothe & comfort skin, strengthening balance. Rice Bran & natural pro-biotics help intensely hydrate, nourish & lock-in moisture, promoting a smoother, more rested skin-feel.
Best for tired, puffy & mature skin, & stressed skin that seeks comforting protection against the elements & urban pollution.",,Skin Destress – Ashwagandha Advanced Anti-Pollution Day Face Essence – 30ml_primary.jpg,Skin Destress – Ashwagandha Advanced Anti-Pollution Day Face Essence – 30ml_secondary.jpg,https://store.spaceylon.com/product/skin-destress-ashwagandha-advanced-anti-pollution-day-face-essence-30ml/
p22,Skin Sleep – Tamarind Seed Advanced Lifting & Revitalising Night Face Serum 30ml,40,skin,day serum & treatments,yes,"A powerful night-renewal treatment infused with naturally rejuvenating Ayurveda WonderHerbs. Precious Arnica, Calendula & Witch Hazel help soothe & restore skin, strengthening balance.",,Skin Sleep – Tamarind Seed Advanced Lifting & Revitalising Night Face Serum 30ml_primary.jpg,Skin Sleep – Tamarind Seed Advanced Lifting & Revitalising Night Face Serum 30ml_secondary.jpg,https://store.spaceylon.com/product/skin-sleep-tamarind-seed-advanced-lifting-revitalising-night-face-serum-30ml/
p23,White Jasmine – Illuminating Facial Protector 100g,31,skin,moisturiser / day creams,yes,"A fast-absorbent multi-protective formula with precious Jasmine & intensely hydrating Beetroot actives to deep-moisturise, nourish, brighten & illuminate skin. Enriched with triple UV sunscreens to protect skin from the harmful rays of the sun, while natural minerals help keep skin looking fresh, for longer.",,White Jasmine – Illuminating Facial Protector 100g_primary.jpg,White Jasmine – Illuminating Facial Protector 100g_secondary.jpg,https://store.spaceylon.com/product/white-jasmine-illuminating-facial-protector-100g/
p24,White Rose – Ultra Light Comforting Facial Moisturiser 60ml,26,skin,moisturiser / day creams,yes,"An extra-light formula with pure Rose Water to hydrate & comfort skin, preserving natural balance. Virgin Coconut combines with Aloe Vera to help gently soothe & nourish skin, without excessive oiliness.",,White Rose – Ultra Light Comforting Facial Moisturiser 60ml_primary.jpg,White Rose – Ultra Light Comforting Facial Moisturiser 60ml_secondary.jpg,https://store.spaceylon.com/product/white-rose-ultra-light-comforting-facial-moisturiser-60ml/
p25,True Turmeric – Vitamin C Glow – Facial Cleansing Foam 150ml,26,skin,best sellers,yes,"A soft-foaming formula infused with True Turmeric & powerful Ayurveda WonderHerbs to deep cleanse & purify skin, taking away dullness & imperfections.",,True Turmeric – Vitamin C Glow – Facial Cleansing Foam 150ml_primary.jpg,True Turmeric – Vitamin C Glow – Facial Cleansing Foam 150ml_secondary.jpg,https://store.spaceylon.com/product/true-turmeric-vitamin-c-glow-facial-cleansing-foam-150ml/
p26,True Turmeric – Vitamin C Glow – Renewing All-Day Protector 100g,31,skin,moisturiser / day creams,no,"A fast-absorbent blend of Ayurveda WonderHerbs infused with calming, anti-oxidant & fortifying Turmeric, Rice Bran & Marigold, to help minimise dark patches, take-away dullness & control imperfections.",,True Turmeric – Vitamin C Glow – Renewing All-Day Protector 100g_primary.jpg,True Turmeric – Vitamin C Glow – Renewing All-Day Protector 100g_secondary.jpg,https://store.spaceylon.com/product/true-turmeric-vitamin-c-glow-renewing-all-day-protector-100g/
p27,True Turmeric – Vitamin C Glow – Renewing Treatment Serum 30ml,37,skin,day serum & treatments,yes,"A powerful overnight repair treatment infused with Ayurveda WonderHerbs & anti-oxidant, healing & calming Turmeric to help minimize dark patches, take-off dullness & control imperfections.",,True Turmeric – Vitamin C Glow – Renewing Treatment Serum 30ml_primary.jpg,True Turmeric – Vitamin C Glow – Renewing Treatment Serum 30ml_secondary.jpg,https://store.spaceylon.com/product/true-turmeric-vitamin-c-glow-renewing-treatment-serum-30ml/
p28,True Turmeric – Vitamin C Glow – Exfoliating Clay Facial Masque 200g,42,skin,facial exfoliator,yes,"A powerful blend of Ayurveda WonderHerbs infused with anti-oxidant, healing & calming Turmeric to intensely purify & energise skin. Virgin Coconut & Sweet Almond help instantly deep cleanse skin, dissolving make-up, daily grime & pollutants.",,True Turmeric – Vitamin C Glow – Exfoliating Clay Facial Masque 200g_primary.jpg,True Turmeric – Vitamin C Glow – Exfoliating Clay Facial Masque 200g_secondary.jpg,https://store.spaceylon.com/product/true-turmeric-vitamin-c-glow-exfoliating-clay-facial-masque-200g/
p29,True Turmeric – Vitamin C Glow – Anti-Pollution Gel Facial Masque 60ml,37,skin,facial masque,no,"A multi-active blend of Ayurveda WonderHerbs infused with anti-oxidant, healing & calming Turmeric, to help instantly soothe & revitalise skin, take away dullness, clear sun-tan & reduce imperfections.",,True Turmeric – Vitamin C Glow – Anti-Pollution Gel Facial Masque 60ml_primary.jpg,True Turmeric – Vitamin C Glow – Anti-Pollution Gel Facial Masque 60ml_secondary.jpg,https://store.spaceylon.com/product/true-turmeric-vitamin-c-glow-anti-pollution-gel-facial-masque-60ml/
p30,True Turmeric – Vitamin C Glow – Deep Cleansing Facial Balm 100ml,27,skin,true turmeric,yes,"A powerful blend of Ayurveda WonderHerbs infused with anti-oxidant, healing & calming Turmeric to intensely purify & energise skin. Virgin Coconut & Sweet Almond help instantly deep cleanse skin, dissolving make-up, daily grime & pollutants.",,True Turmeric – Vitamin C Glow – Deep Cleansing Facial Balm 100ml_primary.jpg,True Turmeric – Vitamin C Glow – Deep Cleansing Facial Balm 100ml_secondary.jpg,https://store.spaceylon.com/product/true-turmeric-vitamin-c-glow-deep-cleansing-facial-balm-100ml/
p31,White Jasmine – Night Repair Face Treatment Oil 30ml,31,skin,night serums & treatments,no,"A light, fast-absorbent, overnight treatment with 100% pure precious Jasmine oil to help gently brighten & illuminate skin. Concentrated Olive extracts combine with Rice Bran & natural vitamins to soothe, nourish & hydrate skin, helping to accelerate the overnight skin recovery process, so you wake up to refreshed, visibly firmer, smoother & younger looking skin.",,White Jasmine – Night Repair Face Treatment Oil 30ml_primary.jpg,White Jasmine – Night Repair Face Treatment Oil 30ml_secondary.jpg,https://store.spaceylon.com/product/white-jasmine-night-repair-face-treatment-oil-30ml/
p32,White Jasmine – Day Hydrating Serum 60ml,37,skin,day serum & treatments,no,"A non-oily pre-moisturiser with 100% pure precious Jasmine oil to gently lighten, brighten & illuminate skin. Concentrated Olive extracts, Jasmine & natural vitamins help improve overall skin tone, while Licorice, Green Tea, Watercress & Bearberry help inhibit formation of skin darkening cells.",,White Jasmine – Day Hydrating Serum 60ml_primary.jpg,White Jasmine – Day Hydrating Serum 60ml_secondary.jpg,https://store.spaceylon.com/product/white-jasmine-day-hydrating-serum-60ml/
p33,Sandalwood – Wonder Oil 100ml,29,skin,body oils,no,"The power of 8 Ayurveda WonderHerbs in an ultra-nourishing blend. Instantly adds a soft silky-smooth touch to skin & hair, without a greasy after-feel. Moringa & Sandalwood help soothe skin & shield against pollution. Sweet Almond & Virgin Coconut help protect skin & hair from dryness.",,Sandalwood – Wonder Oil 100ml_primary.jpg,Sandalwood – Wonder Oil 100ml_secondary.jpg,https://store.spaceylon.com/product/sandalwood-wonder-oil-100ml/
p34,Night Jasmine – Wonder Oil 100ml,29,skin,body oils,no,"The power of 8 Ayurveda WonderHerbs in an ultra-nourishing blend. Instantly adds a soft silky-smooth touch to skin & hair, without a greasy after-feel. Moringa & Jasmine help soothe skin & shield against pollution. Sweet Almond & Virgin Coconut help protect skin & hair from dryness.",,Night Jasmine – Wonder Oil 100ml_primary.jpg,Night Jasmine – Wonder Oil 100ml_secondary.jpg,https://store.spaceylon.com/product/night-jasmine-wonder-oil-100ml/
p35,Almond Tinted Lip Balm – Tamarind SPF 15+,21,skin,tinted lip balms,no,"100% Natural Mineral Colour
An ultra-rich natural blend of Virgin Coconut, Cocoa, Mango & Kokum butters & cold-pressed Almond, Rice Bran, Avocado & Wheatgerm oils to treat, moisturise, soften & smoothen lips.",,Almond Tinted Lip Balm – Tamarind SPF 15+_primary.jpg,Almond Tinted Lip Balm – Tamarind SPF 15+_secondary.jpg,https://store.spaceylon.com/product/almond-tinted-lip-balm-tamarind-spf-15/
p36,Almond Tinted Lip Balm – Orchid SPF 15+,21,skin,tinted lip balms,no,"100% Natural Mineral Colour
An ultra-rich natural blend of Virgin Coconut, Cocoa, Mango & Kokum butters & cold-pressed Almond, Rice Bran, Avocado & Wheatgerm oils to treat, moisturise, soften & smoothen lips.",,Almond Tinted Lip Balm – Orchid SPF 15+_primary.jpg,Almond Tinted Lip Balm – Orchid SPF 15+_secondary.jpg,https://store.spaceylon.com/product/almond-tinted-lip-balm-orchid-spf-15/
p37,Almond Tinted Lip Balm – Damson SPF 15+,21,skin,tinted lip balms,no,"100% Natural Mineral Colour
An ultra-rich natural blend of Virgin Coconut, Cocoa, Mango & Kokum butters & cold-pressed Almond, Rice Bran, Avocado & Wheatgerm oils to treat, moisturise, soften & smoothen lips.",,Almond Tinted Lip Balm – Damson SPF 15+_primary.jpg,Almond Tinted Lip Balm – Damson SPF 15+_secondary.jpg,https://store.spaceylon.com/product/almond-tinted-lip-balm-damson-spf-15/
p38,Almond Tinted Lip Balm – Nelum SPF 15+,21,skin,tinted lip balms,no,"100% Natural Mineral Colour
An ultra-rich natural blend of Virgin Coconut, Cocoa, Mango & Kokum butters & cold-pressed Almond, Rice Bran, Avocado & Wheatgerm oils to treat, moisturise, soften & smoothen lips.",,Almond Tinted Lip Balm – Nelum SPF 15+_primary.jpg,Almond Tinted Lip Balm – Nelum SPF 15+_secondary.jpg,https://store.spaceylon.com/product/almond-tinted-lip-balm-nelum-spf-15/
p39,Almond Tinted Lip Balm – Clove SPF15+,21,skin,tinted lip balms,no,"100% Natural Mineral Colour
An ultra-rich natural blend of Virgin Coconut, Cocoa, Mango & Kokum butters & cold-pressed Almond, Rice Bran, Avocado & Wheatgerm oils to treat, moisturise, soften & smoothen lips.",,Almond Tinted Lip Balm – Clove SPF15+_primary.jpg,Almond Tinted Lip Balm – Clove SPF15+_secondary.jpg,https://store.spaceylon.com/product/almond-tinted-lip-balm-clove-spf15/
p40,Almond Tinted Lip Balm – Lotus SPF 15+,21,skin,tinted lip balms,yes,"100% Natural Mineral Colour
An ultra-rich natural blend of Virgin Coconut, Cocoa, Mango & Kokum butters & cold-pressed Almond, Rice Bran, Avocado & Wheatgerm oils to treat, moisturise, soften & smoothen lips.",,Almond Tinted Lip Balm – Lotus SPF 15+_primary.jpg,Almond Tinted Lip Balm – Lotus SPF 15+_secondary.jpg,https://store.spaceylon.com/product/almond-tinted-lip-balm-lotus-spf-15-2/
p41,Almond Tinted Lip Balm – Nude SPF 15+,21,skin,tinted lip balms,yes,"100% Natural Mineral Colour
An ultra-rich natural blend of Virgin Coconut, Cocoa, Mango & Kokum butters & cold-pressed Almond, Rice Bran, Avocado & Wheatgerm oils to treat, moisturise, soften & smoothen lips.",,Almond Tinted Lip Balm – Nude SPF 15+_primary.jpg,Almond Tinted Lip Balm – Nude SPF 15+_secondary.jpg,https://store.spaceylon.com/product/almond-tinted-lip-balm-nude-spf-15-2/
p42,Almond Tinted Lip Balm – Sandalwood SPF 15+,21,skin,tinted lip balms,no,"100% Natural Mineral Colour
An ultra-rich natural blend of Virgin Coconut, Cocoa, Mango & Kokum butters & cold-pressed Almond, Rice Bran, Avocado & Wheatgerm oils to treat, moisturise, soften & smoothen lips.",,Almond Tinted Lip Balm – Sandalwood SPF 15+_primary.jpg,Almond Tinted Lip Balm – Sandalwood SPF 15+_secondary.jpg,https://store.spaceylon.com/product/almond-tinted-lip-balm-sandalwood-spf-15-2/
p43,Frankincense – Face Wash For Men 150ml,32,skin,cleanser,no,"A deep-cleansing formula with powerful Ayurveda herbs to lift-off dust, pollution, impurities & excess surface oil, to minimize skin shine. Green Olive, Kokum Butter, organic Aloe Vera & Virgin Coconut brighten, revitalise & immediately freshen skin.",,Frankincense – Face Wash For Men 150ml_primary.jpg,Frankincense – Face Wash For Men 150ml_secondary.jpg,https://store.spaceylon.com/product/frankincense-face-wash-for-men-150ml/
p44,Virgin Coconut – Cream Facial Wash 150ml,32,skin,cleanser,no,"A rich, soft-foaming formula, blended with pure Virgin Coconut Oil – naturally cold pressed at source from the finest fresh coconuts hand-picked from the lush tropical gardens of Ceylon.",,Virgin Coconut – Cream Facial Wash 150ml_primary.jpg,Virgin Coconut – Cream Facial Wash 150ml_secondary.jpg,https://store.spaceylon.com/product/virgin-coconut-cream-facial-wash-150ml/
p45,White Mint – Facial Cleansing Foam 150ml,32,skin,best sellers,no,"A rich, soft-foaming formula with powerful Ayurveda herbs to deep cleanse & purify skin, controlling excess surface oil. Green Olive helps dissolve impurities, while Kokum Butter, organic Aloe Vera & natural vitamins help gently refresh, brighten & illuminate skin.",,White Mint – Facial Cleansing Foam 150ml_primary.jpg,White Mint – Facial Cleansing Foam 150ml_secondary.jpg,https://store.spaceylon.com/product/white-mint-facial-cleansing-foam-150ml/
p46,White Jasmine – Facial Cleansing Foam 150ml,32,skin,best sellers,no,"A rich, soft-foaming formula with pure floral essences & powerful Ayurveda herbs to deep cleanse & purify skin, without excessive dryness. Green Olive & Kokum Butter help dissolve impurities & effectively remove surface oil & make-up, while organic Aloe Vera & natural vitamins help gently refresh, brighten & illuminate skin.",,White Jasmine – Facial Cleansing Foam 150ml_primary.jpg,White Jasmine – Facial Cleansing Foam 150ml_secondary.jpg,https://store.spaceylon.com/product/white-jasmine-facial-cleansing-foam-150ml/
p47,Skin Soothe – Tamarind – Revitalizing Crème Facial Exfoliator 100g,30,skin,dosha by face care,yes,"A rich natural skin renewing treatment. Deep-acting Grape Seed, Walnut & Indian Ginseng combine to gently purify & exfoliate skin, minimizing dead cells, dark spots & imperfections.100g",,Skin Soothe – Tamarind – Revitalizing Crème Facial Exfoliator 100g_primary.jpg,Skin Soothe – Tamarind – Revitalizing Crème Facial Exfoliator 100g_secondary.jpg,https://store.spaceylon.com/product/skin-soothe-tamarind-revitalizing-creme-facial-exfoliator-100g/
p48,Skin Balance – Moringa & Neem – Clarifying Clay Facial Exfoliator 100g,30,skin,dosha by face care,no,Description not available,,Skin Balance – Moringa & Neem – Clarifying Clay Facial Exfoliator 100g_primary.jpg,Skin Balance – Moringa & Neem – Clarifying Clay Facial Exfoliator 100g_secondary.jpg,https://store.spaceylon.com/product/skin-balance-moringa-neem-clarifying-clay-facial-exfoliator-100g/
p49,Skin Energise – Citrus & Red Sandal – Radiance Gel Facial Exfoliator 120g,30,skin,dosha by face care,no,"A unique skin renewal treatment enriched with an invigorating blend of Ceylon citrus fruits to help energize & boost natural glow. Red Sandalwood, Walnut & Papaya help effectively clear clogged pores, remove dead cells & reduce dark patches.",,Skin Energise – Citrus & Red Sandal – Radiance Gel Facial Exfoliator 120g_primary.jpg,Skin Energise – Citrus & Red Sandal – Radiance Gel Facial Exfoliator 120g_secondary.jpg,https://store.spaceylon.com/product/skin-energise-citrus-red-sandal-radiance-gel-facial-exfoliator-120g/
p50,White Rice – Rejuvenating Facial Exfoliator 100g,30,skin,dosha by face care,yes,Description not available,,White Rice – Rejuvenating Facial Exfoliator 100g_primary.jpg,White Rice – Rejuvenating Facial Exfoliator 100g_secondary.jpg,https://store.spaceylon.com/product/white-rice-rejuvenating-facial-exfoliator-100g/
p51,Ceylon Orange With Avocado – Lip Sleeping Masque – 50g,21,skin,lip masques,yes,A deep-conditioning & restorative leave-on overnight lip treatment.,,Ceylon Orange With Avocado – Lip Sleeping Masque – 50g_primary.jpg,Ceylon Orange With Avocado – Lip Sleeping Masque – 50g_secondary.jpg,https://store.spaceylon.com/product/ceylon-orange-with-avocado-lip-sleeping-masque-50g/
p52,Ceylon Mango With Neroli – Lip Sleeping Masque – 50g,21,skin,lip masques,no,A deep-conditioning & restorative leave-on overnight lip treatment.,,Ceylon Mango With Neroli – Lip Sleeping Masque – 50g_primary.jpg,Ceylon Mango With Neroli – Lip Sleeping Masque – 50g_secondary.jpg,https://store.spaceylon.com/product/ceylon-mango-with-neroli-lip-sleeping-masque-50g/
p53,Tamarind – Hydrating Facial Water Mist 100ml,16,skin,facial mist,no,"A precious blend of mineral-rich pure Ceylonese mountain spring water infused with Ayurveda WonderHerb Tamarind. Instantly soothes, hydrates, comforts & refreshes skin.",,Tamarind – Hydrating Facial Water Mist 100ml_primary.jpg,Tamarind – Hydrating Facial Water Mist 100ml_secondary.jpg,https://store.spaceylon.com/product/tamarind-hydrating-facial-water-mist-100ml/
p54,Sandalwood – Hydrating Facial Water Mist 100ml,16,skin,facial mist,no,"A precious blend of mineral-rich pure Ceylonese mountain spring water infused with Ayurveda WonderHerb Sandalwood. Instantly soothes, hydrates, comforts & refreshes skin.",,Sandalwood – Hydrating Facial Water Mist 100ml_primary.jpg,Sandalwood – Hydrating Facial Water Mist 100ml_secondary.jpg,https://store.spaceylon.com/product/sandalwood-hydrating-facial-water-mist-100ml/
p55,Moringa – Hydrating Facial Water Mist 100ml,16,skin,facial mist,yes,"A precious blend of mineral-rich pure Ceylonese mountain spring water infused with Ayurveda WonderHerb Moringa. Instantly soothes, hydrates, comforts & refreshes skin",,Moringa – Hydrating Facial Water Mist 100ml_primary.jpg,Moringa – Hydrating Facial Water Mist 100ml_secondary.jpg,https://store.spaceylon.com/product/moringa-hydrating-facial-water-mist-100ml/
p56,Ceylon Coffee With Cocoa – Lip Care Scrub 25g,16,skin,dosha by face care,no,"A natural exfoliating formula, infused with caring Virgin Coconut, softening Ceylon Mango Butter & renewing Cane Sugars. Enriched with nourishing vitamins & protective anti-oxidants to help gently renew & restore lips. Olive & Ceylon Coffee combine to effectively remove dry, dead skin cells & reveal softer, smoother, more radiant lips.",,Ceylon Coffee With Cocoa – Lip Care Scrub 25g_primary.jpg,Ceylon Coffee With Cocoa – Lip Care Scrub 25g_secondary.jpg,https://store.spaceylon.com/product/ceylon-coffee-with-cocoa-lip-care-scrub-25g/
